 frequency           vr(out)             vi(out)             AclmagdB            Aclphdeg            AolmagdB            Aolphdeg           
 1.000000000000e+01  1.009034196237e+00 -9.862529911354e-06  7.811769552437e-02 -5.600219906636e-04  4.096032212220e+01 -1.799380108920e+02 
 1.057767560283e+01  1.009034196230e+00 -1.043226420254e-05  7.811769552056e-02 -5.923730947696e-04  4.096032151287e+01 -1.799344299355e+02 
 1.118872211587e+01  1.009034196224e+00 -1.103491065372e-05  7.811769551629e-02 -6.265930432323e-04  4.096032083110e+01 -1.799306421165e+02 
 1.183506729519e+01  1.009034196216e+00 -1.167237052011e-05  7.811769551153e-02 -6.627897946308e-04  4.096032006829e+01 -1.799266354851e+02 
 1.251875025863e+01  1.009034196207e+00 -1.234665488775e-05  7.811769550619e-02 -7.010775440478e-04  4.096031921481e+01 -1.799223974012e+02 
 1.324192791886e+01  1.009034196198e+00 -1.305989101824e-05  7.811769550022e-02 -7.415770833376e-04  4.096031825987e+01 -1.799179144944e+02 
 1.400688178818e+01  1.009034196187e+00 -1.381432905989e-05  7.811769549354e-02 -7.844161822049e-04  4.096031719141e+01 -1.799131726222e+02 
 1.481602517626e+01  1.009034196175e+00 -1.461234914658e-05  7.811769548606e-02 -8.297299912986e-04  4.096031599594e+01 -1.799081568249e+02 
 1.567191080378e+01  1.009034196161e+00 -1.545646890673e-05  7.811769547769e-02 -8.776614685910e-04  4.096031465837e+01 -1.799028512787e+02 
 1.657723885589e+01  1.009034196146e+00 -1.634935140599e-05  7.811769546833e-02 -9.283618303876e-04  4.096031316179e+01 -1.798972392460e+02 
 1.753486550083e+01  1.009034196129e+00 -1.729381354885e-05  7.811769545786e-02 -9.819910283910e-04  4.096031148732e+01 -1.798913030220e+02 
 1.854781190071e+01  1.009034196110e+00 -1.829283496547e-05  7.811769544614e-02 -1.038718254323e-03  4.096030961379e+01 -1.798850238793e+02 
 1.961927374280e+01  1.009034196089e+00 -1.934956741198e-05  7.811769543304e-02 -1.098722473700e-03  4.096030751756e+01 -1.798783820090e+02 
 2.075263132145e+01  1.009034196065e+00 -2.046734471377e-05  7.811769541837e-02 -1.162192990437e-03  4.096030517215e+01 -1.798713564576e+02 
 2.195146020235e+01  1.009034196038e+00 -2.164969328321e-05  7.811769540196e-02 -1.229330044076e-03  4.096030254793e+01 -1.798639250616e+02 
 2.321954250289e+01  1.009034196009e+00 -2.290034324488e-05  7.811769538359e-02 -1.300345441509e-03  4.096029961177e+01 -1.798560643769e+02 
 2.456087882417e+01  1.009034195975e+00 -2.422324020356e-05  7.811769536305e-02 -1.375463225196e-03  4.096029632658e+01 -1.798477496057e+02 
 2.597970087226e+01  1.009034195938e+00 -2.562255769202e-05  7.811769534006e-02 -1.454920379981e-03  4.096029265088e+01 -1.798389545175e+02 
 2.748048480853e+01  1.009034195896e+00 -2.710271033780e-05  7.811769531434e-02 -1.538967580746e-03  4.096028853824e+01 -1.798296513669e+02 
 2.906796537132e+01  1.009034195850e+00 -2.866836779072e-05  7.811769528556e-02 -1.627869983249e-03  4.096028393673e+01 -1.798198108058e+02 
 3.074715081322e+01  1.009034195798e+00 -3.032446945487e-05  7.811769525337e-02 -1.721908060649e-03  4.096027878823e+01 -1.798094017913e+02 
 3.252333870136e+01  1.009034195739e+00 -3.207624007166e-05  7.811769521734e-02 -1.821378488356e-03  4.096027302772e+01 -1.797983914873e+02 
 3.440213263040e+01  1.009034195674e+00 -3.392920620307e-05  7.811769517703e-02 -1.926595079995e-03  4.096026658247e+01 -1.797867451613e+02 
 3.638945990099e+01  1.009034195601e+00 -3.588921366707e-05  7.811769513193e-02 -2.037889777436e-03  4.096025937106e+01 -1.797744260750e+02 
 3.849159021950e+01  1.009034195519e+00 -3.796244598026e-05  7.811769508147e-02 -2.155613698024e-03  4.096025130242e+01 -1.797613953680e+02 
 4.071515547790e+01  1.009034195428e+00 -4.015544386595e-05  7.811769502501e-02 -2.280138242295e-03  4.096024227467e+01 -1.797476119362e+02 
 4.306717067641e+01  1.009034195326e+00 -4.247512588901e-05  7.811769496184e-02 -2.411856265688e-03  4.096023217380e+01 -1.797330323013e+02 
 4.555505605468e+01  1.009034195211e+00 -4.492881028297e-05  7.811769489115e-02 -2.551183317943e-03  4.096022087224e+01 -1.797176104747e+02 
 4.818666050152e+01  1.009034195083e+00 -4.752423803781e-05  7.811769481208e-02 -2.698558954094e-03  4.096020822727e+01 -1.797012978118e+02 
 5.097028631689e+01  1.009034194940e+00 -5.026959732165e-05  7.811769472359e-02 -2.854448121198e-03  4.096019407921e+01 -1.796840428597e+02 
 5.391471540435e+01  1.009034194779e+00 -5.317354931306e-05  7.811769462459e-02 -3.019342625168e-03  4.096017824939e+01 -1.796657911943e+02 
 5.702923697662e+01  1.009034194600e+00 -5.624525552578e-05  7.811769451382e-02 -3.193762682346e-03  4.096016053792e+01 -1.796464852495e+02 
 6.032367686157e+01  1.009034194399e+00 -5.949440671182e-05  7.811769438989e-02 -3.378258560704e-03  4.096014072113e+01 -1.796260641360e+02 
 6.380842850118e+01  1.009034194175e+00 -6.293125343429e-05  7.811769425121e-02 -3.573412315851e-03  4.096011854878e+01 -1.796044634494e+02 
 6.749448574119e+01  1.009034193923e+00 -6.656663840628e-05  7.811769409606e-02 -3.779839627328e-03  4.096009374089e+01 -1.795816150678e+02 
 7.139347751503e+01  1.009034193642e+00 -7.041203069798e-05  7.811769392247e-02 -3.998191740985e-03  4.096006598419e+01 -1.795574469377e+02 
