 frequency       vr(out)         vi(out)        
 3.84915902e+03  9.99798730e-01 -3.70443134e-03 
 4.07151555e+03  9.99797256e-01 -3.91842213e-03 
 4.30671707e+03  9.99795607e-01 -4.14477370e-03 
 4.55550561e+03  9.99793761e-01 -4.38419992e-03 
 4.81866605e+03  9.99791697e-01 -4.63745588e-03 
 5.09702863e+03  9.99789387e-01 -4.90534025e-03 
 5.39147154e+03  9.99786803e-01 -5.18869779e-03 
 5.70292370e+03  9.99783911e-01 -5.48842199e-03 
 6.03236769e+03  9.99780676e-01 -5.80545792e-03 
 6.38084285e+03  9.99777056e-01 -6.14080516e-03 
 6.74944857e+03  9.99773006e-01 -6.49552094e-03 
 7.13934775e+03  9.99768474e-01 -6.87072347e-03 
 7.55177045e+03  9.99763404e-01 -7.26759541e-03 
 7.98801781e+03  9.99757731e-01 -7.68738763e-03 
 8.44946611e+03  9.99751384e-01 -8.13142305e-03 
 8.93757115e+03  9.99744283e-01 -8.60110084e-03 
 9.45387283e+03  9.99736337e-01 -9.09790073e-03 
 1.00000000e+04  9.99727447e-01 -9.62338766e-03 
 1.05776756e+04  9.99717501e-01 -1.01792166e-02 
 1.11887221e+04  9.99706372e-01 -1.07671379e-02 
 1.18350673e+04  9.99693920e-01 -1.13890022e-02 
 1.25187503e+04  9.99679989e-01 -1.20467668e-02 
 1.32419279e+04  9.99664402e-01 -1.27425013e-02 
 1.40068818e+04  9.99646963e-01 -1.34783941e-02 
 1.48160252e+04  9.99627452e-01 -1.42567589e-02 
 1.56719108e+04  9.99605622e-01 -1.50800424e-02 
 1.65772389e+04  9.99581198e-01 -1.59508308e-02 
 1.75348655e+04  9.99553871e-01 -1.68718585e-02 
 1.85478119e+04  9.99523299e-01 -1.78460161e-02 
 1.96192737e+04  9.99489093e-01 -1.88763587e-02 
 2.07526313e+04  9.99450825e-01 -1.99661157e-02 
 2.19514602e+04  9.99408010e-01 -2.11186997e-02 
 2.32195425e+04  9.99360109e-01 -2.23377172e-02 
 2.45608788e+04  9.99306520e-01 -2.36269786e-02 
 2.59797009e+04  9.99246566e-01 -2.49905095e-02 
 2.74804848e+04  9.99179492e-01 -2.64325623e-02 
 2.90679654e+04  9.99104455e-01 -2.79576277e-02 
 3.07471508e+04  9.99020510e-01 -2.95704478e-02 
 3.25233387e+04  9.98926601e-01 -3.12760290e-02 
 3.44021326e+04  9.98821548e-01 -3.30796551e-02 
 3.63894599e+04  9.98704030e-01 -3.49869017e-02 
 3.84915902e+04  9.98572571e-01 -3.70036500e-02 
 4.07151555e+04  9.98425522e-01 -3.91361022e-02 
 4.30671707e+04  9.98261038e-01 -4.13907961e-02 
 4.55550561e+04  9.98077058e-01 -4.37746204e-02 
 4.81866605e+04  9.97871280e-01 -4.62948303e-02 
 5.09702863e+04  9.97641129e-01 -4.89590627e-02 
 5.39147154e+04  9.97383731e-01 -5.17753518e-02 
 5.70292370e+04  9.97095876e-01 -5.47521438e-02 
 6.03236769e+04  9.96773976e-01 -5.78983114e-02 
 6.38084285e+04  9.96414030e-01 -6.12231673e-02 
 6.74944857e+04  9.96011570e-01 -6.47364766e-02 
 7.13934775e+04  9.95561609e-01 -6.84484674e-02 
 7.55177045e+04  9.95058587e-01 -7.23698396e-02 
 7.98801781e+04  9.94496303e-01 -7.65117707e-02 
 8.44946611e+04  9.93867846e-01 -8.08859181e-02 
 8.93757115e+04  9.93165516e-01 -8.55044179e-02 
 9.45387283e+04  9.92380739e-01 -9.03798774e-02 
 1.00000000e+05  9.91503976e-01 -9.55253621e-02 
 1.05776756e+05  9.90524614e-01 -1.00954375e-01 
 1.11887221e+05  9.89430861e-01 -1.06680825e-01 
 1.18350673e+05  9.88209623e-01 -1.12718987e-01 
 1.25187503e+05  9.86846373e-01 -1.19083448e-01 
 1.32419279e+05  9.85325011e-01 -1.25789035e-01 
 1.40068818e+05  9.83627714e-01 -1.32850727e-01 
 1.48160252e+05  9.81734776e-01 -1.40283548e-01 
 1.56719108e+05  9.79624446e-01 -1.48102432e-01 
 1.65772389e+05  9.77272745e-01 -1.56322056e-01 
 1.75348655e+05  9.74653298e-01 -1.64956651e-01 
 1.85478119e+05  9.71737144e-01 -1.74019766e-01 
 1.96192737e+05  9.68492563e-01 -1.83523993e-01 
 2.07526313e+05  9.64884903e-01 -1.93480648e-01 
 2.19514602e+05  9.60876420e-01 -2.03899394e-01 
 2.32195425e+05  9.56426140e-01 -2.14787815e-01 
 2.45608788e+05  9.51489755e-01 -2.26150919e-01 
 2.59797009e+05  9.46019556e-01 -2.37990590e-01 
 2.74804848e+05  9.39964428e-01 -2.50304955e-01 
 2.90679654e+05  9.33269914e-01 -2.63087704e-01 
 3.07471508e+05  9.25878376e-01 -2.76327325e-01 
 3.25233387e+05  9.17729261e-01 -2.90006300e-01 
 3.44021326e+05  9.08759516e-01 -3.04100237e-01 
 3.63894599e+05  8.98904146e-01 -3.18576980e-01 
 3.84915902e+05  8.88096972e-01 -3.33395707e-01 
 4.07151555e+05  8.76271588e-01 -3.48506054e-01 
 4.30671707e+05  8.63362539e-01 -3.63847290e-01 
 4.55550561e+05  8.49306752e-01 -3.79347624e-01 
 4.81866605e+05  8.34045199e-01 -3.94923655e-01 
 5.09702863e+05  8.17524802e-01 -4.10480077e-01 
 5.39147154e+05  7.99700548e-01 -4.25909677e-01 
 5.70292370e+05  7.80537775e-01 -4.41093713e-01 
 6.03236769e+05  7.60014557e-01 -4.55902739e-01 
 6.38084285e+05  7.38124110e-01 -4.70197939e-01 
 6.74944857e+05  7.14877099e-01 -4.83833007e-01 
 7.13934775e+05  6.90303710e-01 -4.96656594e-01 
 7.55177045e+05  6.64455352e-01 -5.08515308e-01 
 7.98801781e+05  6.37405830e-01 -5.19257196e-01 
 8.44946611e+05  6.09251849e-01 -5.28735625e-01 
 8.93757115e+05  5.80112723e-01 -5.36813394e-01 
 9.45387283e+05  5.50129213e-01 -5.43366903e-01 
 1.00000000e+06  5.19461445e-01 -5.48290163e-01 
 1.05776756e+06  4.88285960e-01 -5.51498408e-01 
 1.11887221e+06  4.56791960e-01 -5.52931096e-01 
 1.18350673e+06  4.25176927e-01 -5.52554093e-01 
 1.25187503e+06  3.93641826e-01 -5.50360906e-01 
 1.32419279e+06  3.62386121e-01 -5.46372867e-01 
 1.40068818e+06  3.31602890e-01 -5.40638256e-01 
 1.48160252e+06  3.01474277e-01 -5.33230435e-01 
 1.56719108e+06  2.72167521e-01 -5.24245112e-01 
 1.65772389e+06  2.43831726e-01 -5.13796925e-01 
 1.75348655e+06  2.16595492e-01 -5.02015554e-01 
 1.85478119e+06  1.90565459e-01 -4.89041599e-01 
 1.96192737e+06  1.65825744e-01 -4.75022448e-01 
 2.07526313e+06  1.42438204e-01 -4.60108321e-01 
 2.19514602e+06  1.20443424e-01 -4.44448675e-01 
 2.32195425e+06  9.98622652e-02 -4.28189063e-01 
 2.45608788e+06  8.06978567e-02 -4.11468543e-01 
 2.59797009e+06  6.29378541e-02 -3.94417655e-01 
 2.74804848e+06  4.65568389e-02 -3.77156960e-01 
 2.90679654e+06  3.15187349e-02 -3.59796122e-01 
 3.07471508e+06  1.77791428e-02 -3.42433455e-01 
 3.25233387e+06  5.28751788e-03 -3.25155889e-01 
 3.44021326e+06 -6.01086150e-03 -3.08039276e-01 
 3.63894599e+06 -1.61731675e-02 -2.91148957e-01 
 3.84915902e+06 -2.52575550e-02 -2.74540528e-01 
 4.07151555e+06 -3.33219537e-02 -2.58260754e-01 
 4.30671707e+06 -4.04231151e-02 -2.42348548e-01 
 4.55550561e+06 -4.66158978e-02 -2.26836005e-01 
 4.81866605e+06 -5.19527752e-02 -2.11749424e-01 
 5.09702863e+06 -5.64835438e-02 -1.97110305e-01 
 5.39147154e+06 -6.02552106e-02 -1.82936286e-01 
 5.70292370e+06 -6.33120391e-02 -1.69242004e-01 
 6.03236769e+06 -6.56957298e-02 -1.56039863e-01 
 6.38084285e+06 -6.74457160e-02 -1.43340689e-01 
 6.74944857e+06 -6.85995502e-02 -1.31154269e-01 
 7.13934775e+06 -6.91933599e-02 -1.19489755e-01 
 7.55177045e+06 -6.92623470e-02 -1.08355934e-01 
 7.98801781e+06 -6.88413045e-02 -9.77613472e-02 
 8.44946611e+06 -6.79651227e-02 -8.77142776e-02 
 8.93757115e+06 -6.66692549e-02 -7.82225847e-02 
 9.45387283e+06 -6.49901119e-02 -6.92934182e-02 
