 time            v(inp)          v(out)         
 1.24747600e-07  7.00000000e-01  4.07203702e-01 
 1.25847600e-07  7.00000000e-01  4.07584299e-01 
 1.26947600e-07  7.00000000e-01  4.07972086e-01 
 1.28047600e-07  7.00000000e-01  4.08364902e-01 
 1.29147600e-07  7.00000000e-01  4.08764022e-01 
 1.30247600e-07  7.00000000e-01  4.09167361e-01 
 1.31347600e-07  7.00000000e-01  4.09576257e-01 
 1.32447600e-07  7.00000000e-01  4.09988689e-01 
 1.33547600e-07  7.00000000e-01  4.10406048e-01 
 1.34647600e-07  7.00000000e-01  4.10826366e-01 
 1.35747600e-07  7.00000000e-01  4.11251079e-01 
 1.36847600e-07  7.00000000e-01  4.11678262e-01 
 1.37947600e-07  7.00000000e-01  4.12109389e-01 
 1.39047600e-07  7.00000000e-01  4.12542576e-01 
 1.40147600e-07  7.00000000e-01  4.12979326e-01 
 1.41247600e-07  7.00000000e-01  4.13417786e-01 
 1.42347600e-07  7.00000000e-01  4.13859488e-01 
 1.43447600e-07  7.00000000e-01  4.14302607e-01 
 1.44547600e-07  7.00000000e-01  4.14748696e-01 
 1.45647600e-07  7.00000000e-01  4.15195953e-01 
 1.46747600e-07  7.00000000e-01  4.15645948e-01 
 1.47847600e-07  7.00000000e-01  4.16096902e-01 
 1.48947600e-07  7.00000000e-01  4.16550398e-01 
 1.50047600e-07  7.00000000e-01  4.17004673e-01 
 1.51147600e-07  7.00000000e-01  4.17461323e-01 
 1.52247600e-07  7.00000000e-01  4.17918599e-01 
 1.53347600e-07  7.00000000e-01  4.18378107e-01 
 1.54447600e-07  7.00000000e-01  4.18838109e-01 
 1.55547600e-07  7.00000000e-01  4.19300220e-01 
 1.56647600e-07  7.00000000e-01  4.19762711e-01 
 1.57747600e-07  7.00000000e-01  4.20227203e-01 
 1.58847600e-07  7.00000000e-01  4.20691977e-01 
 1.59947600e-07  7.00000000e-01  4.21158659e-01 
 1.61047600e-07  7.00000000e-01  4.21625536e-01 
