 v-sweep         ID              Gm             
 5.80000000e-01  3.12349327e-05  1.49105970e-04 
 5.90000000e-01  3.27442106e-05  1.52726902e-04 
 6.00000000e-01  3.42896010e-05  1.56327115e-04 
 6.10000000e-01  3.58708910e-05  1.59905494e-04 
 6.20000000e-01  3.74878565e-05  1.63460987e-04 
 6.30000000e-01  3.91402633e-05  1.66992597e-04 
 6.40000000e-01  4.08278676e-05  1.70499387e-04 
 6.50000000e-01  4.25504165e-05  1.73980470e-04 
 6.60000000e-01  4.43076484e-05  1.77435011e-04 
 6.70000000e-01  4.60992936e-05  1.80862223e-04 
 6.80000000e-01  4.79250750e-05  1.84261366e-04 
 6.90000000e-01  4.97847081e-05  1.87631745e-04 
 7.00000000e-01  5.16779017e-05  1.90972708e-04 
 7.10000000e-01  5.36043583e-05  1.94283643e-04 
 7.20000000e-01  5.55637747e-05  1.97563979e-04 
 7.30000000e-01  5.75558419e-05  2.00813181e-04 
 7.40000000e-01  5.95802459e-05  2.04030753e-04 
 7.50000000e-01  6.16366678e-05  2.07216232e-04 
 7.60000000e-01  6.37247845e-05  2.10369188e-04 
 7.70000000e-01  6.58442684e-05  2.13489225e-04 
 7.80000000e-01  6.79947884e-05  2.16575977e-04 
 7.90000000e-01  7.01760098e-05  2.19629108e-04 
 8.00000000e-01  7.23875947e-05  2.22648312e-04 
 8.10000000e-01  7.46292022e-05  2.25633307e-04 
 8.20000000e-01  7.69004889e-05  2.28583842e-04 
 8.30000000e-01  7.92157170e-05  2.31499689e-04 
 8.40000000e-01  8.15451479e-05  2.34380643e-04 
 8.50000000e-01  8.39032130e-05  2.37226527e-04 
 8.60000000e-01  8.62895610e-05  2.40037182e-04 
 8.70000000e-01  8.87038388e-05  2.42812474e-04 
 8.80000000e-01  9.11456922e-05  2.45552288e-04 
 8.90000000e-01  9.36147659e-05  2.48256530e-04 
 9.00000000e-01  9.61107039e-05  2.50925125e-04 
 9.10000000e-01  9.86331494e-05  2.53558017e-04 
 9.20000000e-01  1.01181745e-04  2.56155166e-04 
 9.30000000e-01  1.03756134e-04  2.58716552e-04 
 9.40000000e-01  1.06355957e-04  2.61242167e-04 
 9.50000000e-01  1.08980858e-04  2.63732024e-04 
 9.60000000e-01  1.11630478e-04  2.66186146e-04 
 9.70000000e-01  1.14304462e-04  2.68604573e-04 
 9.80000000e-01  1.17002451e-04  2.70987357e-04 
 9.90000000e-01  1.19724090e-04  2.73334566e-04 
 1.00000000e+00  1.22469024e-04  2.75646276e-04 
 1.01000000e+00  1.25236898e-04  2.77922577e-04 
 1.02000000e+00  1.28027358e-04  2.80163572e-04 
 1.03000000e+00  1.30840052e-04  2.82369372e-04 
 1.04000000e+00  1.33674628e-04  2.84540098e-04 
 1.05000000e+00  1.36530737e-04  2.86675881e-04 
 1.06000000e+00  1.39408030e-04  2.88776862e-04 
 1.07000000e+00  1.42306159e-04  2.90843190e-04 
