 frequency       inoise_spectrum onoise_spectrum
 1.55051578e+05  2.82436079e-08  2.32309245e-07 
 1.73019574e+05  2.82188894e-08  2.32107521e-07 
 1.93069773e+05  2.81966552e-08  2.31926618e-07 
 2.15443469e+05  2.81766348e-08  2.31764406e-07 
 2.40409918e+05  2.81585817e-08  2.31618975e-07 
 2.68269580e+05  2.81422691e-08  2.31488610e-07 
 2.99357729e+05  2.81274879e-08  2.31371769e-07 
 3.34048498e+05  2.81140424e-08  2.31267074e-07 
 3.72759372e+05  2.81017479e-08  2.31173289e-07 
 4.15956216e+05  2.80904271e-08  2.31089308e-07 
 4.64158883e+05  2.80799064e-08  2.31014143e-07 
 5.17947468e+05  2.80700124e-08  2.30946913e-07 
 5.77969288e+05  2.80605672e-08  2.30886837e-07 
 6.44946677e+05  2.80513839e-08  2.30833221e-07 
 7.19685673e+05  2.80422604e-08  2.30785454e-07 
 8.03085722e+05  2.80329732e-08  2.30743004e-07 
 8.96150502e+05  2.80232689e-08  2.30705410e-07 
 1.00000000e+06  2.80128553e-08  2.30672281e-07 
 1.11588399e+06  2.80013892e-08  2.30643293e-07 
 1.24519708e+06  2.79884631e-08  2.30618190e-07 
 1.38949549e+06  2.79735882e-08  2.30596783e-07 
 1.55051578e+06  2.79561745e-08  2.30578957e-07 
 1.73019574e+06  2.79355063e-08  2.30564669e-07 
 1.93069773e+06  2.79107143e-08  2.30553961e-07 
 2.15443469e+06  2.78807410e-08  2.30546970e-07 
 2.40409918e+06  2.78443021e-08  2.30543934e-07 
 2.68269580e+06  2.77998419e-08  2.30545213e-07 
 2.99357729e+06  2.77454839e-08  2.30551307e-07 
 3.34048498e+06  2.76789780e-08  2.30562875e-07 
 3.72759372e+06  2.75976489e-08  2.30580764e-07 
 4.15956216e+06  2.74983489e-08  2.30606035e-07 
 4.64158883e+06  2.73774259e-08  2.30639988e-07 
 5.17947468e+06  2.72307173e-08  2.30684193e-07 
 5.77969288e+06  2.70535886e-08  2.30740501e-07 
 6.44946677e+06  2.68410359e-08  2.30811049e-07 
 7.19685673e+06  2.65878772e-08  2.30898228e-07 
 8.03085722e+06  2.62890540e-08  2.31004610e-07 
 8.96150502e+06  2.59400545e-08  2.31132793e-07 
 1.00000000e+07  2.55374521e-08  2.31285142e-07 
 1.11588399e+07  2.50795196e-08  2.31463387e-07 
 1.24519708e+07  2.45668404e-08  2.31668019e-07 
 1.38949549e+07  2.40027997e-08  2.31897463e-07 
 1.55051578e+07  2.33938196e-08  2.32146999e-07 
 1.73019574e+07  2.27492181e-08  2.32407450e-07 
 1.93069773e+07  2.20806311e-08  2.32663712e-07 
 2.15443469e+07  2.14010343e-08  2.32893277e-07 
 2.40409918e+07  2.07235003e-08  2.33064960e-07 
 2.68269580e+07  2.00598997e-08  2.33138044e-07 
 2.99357729e+07  1.94197644e-08  2.33062072e-07 
 3.34048498e+07  1.88094855e-08  2.32777334e-07 
 3.72759372e+07  1.82319285e-08  2.32215999e-07 
 4.15956216e+07  1.76864579e-08  2.31303719e-07 
 4.64158883e+07  1.71692954e-08  2.29961471e-07 
 5.17947468e+07  1.66741041e-08  2.28107555e-07 
 5.77969288e+07  1.61926987e-08  2.25659847e-07 
 6.44946677e+07  1.57158051e-08  2.22538580e-07 
 7.19685673e+07  1.52338275e-08  2.18670061e-07 
 8.03085722e+07  1.47376033e-08  2.13991624e-07 
 8.96150502e+07  1.42191298e-08  2.08457818e-07 
 1.00000000e+08  1.36722404e-08  2.02047401e-07 
