FREQ        SnindBv     SninthdBv   SninfldBv   SnintotdBv  SninM1dBv   SninM2dBv   SninthtotdBv SninthM1dBv SninthM2dBv SninfltotdBv SninflM1dBv SninflM2dBv INOISE      ITHN        IFLN        IN(M1a.INOISE) IN(M1b.INOISE) IN(M2a.INOISE) IN(M2b.INOISE) IN(M1a.ITHN) IN(M1b.ITHN) IN(M2a.ITHN) IN(M2b.ITHN) IN(M1a.IFLN) IN(M1b.IFLN) IN(M2a.IFLN) IN(M2b.IFLN) ONOISE      OFLN        OTHN        OSHN        ISHN        DB(ONOISE)  DB(OFLN)    DB(OTHN)    DB(OSHN)    DB(INOISE)  DB(IFLN)    DB(ITHN)    DB(ISHN)   

 1.7535E+01 -1.0861E+02 -1.4411E+02 -1.0861E+02 -1.0861E+02 -1.1607E+02 -1.0947E+02 -1.4411E+02 -1.4486E+02 -1.5211E+02 -1.0861E+02 -1.1608E+02 -1.0947E+02  3.7120E-06  6.2310E-08  3.7115E-06  1.1117E-06  1.1117E-06  2.3715E-06  2.3839E-06  4.0399E-08  4.0399E-08  1.7497E-08  1.7589E-08  1.1110E-06  1.1110E-06  2.3714E-06  2.3839E-06  5.0086E-03  5.0078E-03  8.4074E-05  0.0000E+00  0.0000E+00 -4.6006E+01 -4.6007E+01 -8.1507E+01 -3.0000E+02 -1.0861E+02 -1.0861E+02 -1.4411E+02 -3.0000E+02
 1.8548E+01 -1.0885E+02 -1.4411E+02 -1.0885E+02 -1.0885E+02 -1.1631E+02 -1.0971E+02 -1.4411E+02 -1.4486E+02 -1.5211E+02 -1.0885E+02 -1.1632E+02 -1.0971E+02  3.6092E-06  6.2310E-08  3.6087E-06  1.0810E-06  1.0810E-06  2.3058E-06  2.3179E-06  4.0399E-08  4.0399E-08  1.7497E-08  1.7589E-08  1.0802E-06  1.0802E-06  2.3057E-06  2.3179E-06  4.8698E-03  4.8690E-03  8.4072E-05  0.0000E+00  0.0000E+00 -4.6250E+01 -4.6251E+01 -8.1507E+01 -3.0000E+02 -1.0885E+02 -1.0885E+02 -1.4411E+02 -3.0000E+02
 1.9619E+01 -1.0910E+02 -1.4411E+02 -1.0910E+02 -1.0910E+02 -1.1656E+02 -1.0995E+02 -1.4411E+02 -1.4486E+02 -1.5211E+02 -1.0910E+02 -1.1656E+02 -1.0995E+02  3.5093E-06  6.2310E-08  3.5088E-06  1.0511E-06  1.0511E-06  2.2419E-06  2.2538E-06  4.0399E-08  4.0399E-08  1.7497E-08  1.7589E-08  1.0503E-06  1.0503E-06  2.2419E-06  2.2537E-06  4.7348E-03  4.7341E-03  8.4069E-05  0.0000E+00  0.0000E+00 -4.6494E+01 -4.6495E+01 -8.1507E+01 -3.0000E+02 -1.0910E+02 -1.0910E+02 -1.4411E+02 -3.0000E+02
 2.0753E+01 -1.0934E+02 -1.4411E+02 -1.0934E+02 -1.0934E+02 -1.1680E+02 -1.1020E+02 -1.4411E+02 -1.4486E+02 -1.5211E+02 -1.0934E+02 -1.1681E+02 -1.1020E+02  3.4122E-06  6.2310E-08  3.4116E-06  1.0220E-06  1.0220E-06  2.1799E-06  2.1914E-06  4.0399E-08  4.0399E-08  1.7497E-08  1.7589E-08  1.0212E-06  1.0212E-06  2.1798E-06  2.1913E-06  4.6036E-03  4.6028E-03  8.4066E-05  0.0000E+00  0.0000E+00 -4.6738E+01 -4.6740E+01 -8.1508E+01 -3.0000E+02 -1.0934E+02 -1.0934E+02 -1.4411E+02 -3.0000E+02
 2.1951E+01 -1.0958E+02 -1.4411E+02 -1.0958E+02 -1.0958E+02 -1.1704E+02 -1.1044E+02 -1.4411E+02 -1.4486E+02 -1.5211E+02 -1.0958E+02 -1.1705E+02 -1.1044E+02  3.3177E-06  6.2310E-08  3.3171E-06  9.9377E-07  9.9378E-07  2.1195E-06  2.1307E-06  4.0399E-08  4.0399E-08  1.7497E-08  1.7589E-08  9.9295E-07  9.9296E-07  2.1194E-06  2.1306E-06  4.4760E-03  4.4752E-03  8.4063E-05  0.0000E+00  0.0000E+00 -4.6982E+01 -4.6984E+01 -8.1508E+01 -3.0000E+02 -1.0958E+02 -1.0958E+02 -1.4411E+02 -3.0000E+02
 2.3220E+01 -1.0983E+02 -1.4411E+02 -1.0983E+02 -1.0983E+02 -1.1729E+02 -1.1069E+02 -1.4411E+02 -1.4486E+02 -1.5211E+02 -1.0983E+02 -1.1730E+02 -1.1069E+02  3.2259E-06  6.2310E-08  3.2253E-06  9.6630E-07  9.6631E-07  2.0608E-06  2.0717E-06  4.0399E-08  4.0399E-08  1.7497E-08  1.7589E-08  9.6546E-07  9.6546E-07  2.0608E-06  2.0716E-06  4.3519E-03  4.3511E-03  8.4059E-05  0.0000E+00  0.0000E+00 -4.7226E+01 -4.7228E+01 -8.1508E+01 -3.0000E+02 -1.0983E+02 -1.0983E+02 -1.4411E+02 -3.0000E+02
 2.4561E+01 -1.1007E+02 -1.4411E+02 -1.1007E+02 -1.1007E+02 -1.1753E+02 -1.1093E+02 -1.4411E+02 -1.4486E+02 -1.5211E+02 -1.1007E+02 -1.1754E+02 -1.1093E+02  3.1366E-06  6.2310E-08  3.1360E-06  9.3959E-07  9.3960E-07  2.0038E-06  2.0143E-06  4.0399E-08  4.0399E-08  1.7497E-08  1.7589E-08  9.3872E-07  9.3873E-07  2.0037E-06  2.0143E-06  4.2312E-03  4.2304E-03  8.4054E-05  0.0000E+00  0.0000E+00 -4.7471E+01 -4.7472E+01 -8.1509E+01 -3.0000E+02 -1.1007E+02 -1.1007E+02 -1.4411E+02 -3.0000E+02
 2.5980E+01 -1.1031E+02 -1.4411E+02 -1.1032E+02 -1.1031E+02 -1.1777E+02 -1.1117E+02 -1.4411E+02 -1.4486E+02 -1.5211E+02 -1.1032E+02 -1.1778E+02 -1.1117E+02  3.0498E-06  6.2310E-08  3.0492E-06  9.1362E-07  9.1363E-07  1.9483E-06  1.9586E-06  4.0399E-08  4.0399E-08  1.7497E-08  1.7589E-08  9.1273E-07  9.1274E-07  1.9482E-06  1.9585E-06  4.1139E-03  4.1130E-03  8.4050E-05  0.0000E+00  0.0000E+00 -4.7715E+01 -4.7717E+01 -8.1509E+01 -3.0000E+02 -1.1031E+02 -1.1032E+02 -1.4411E+02 -3.0000E+02
 2.7480E+01 -1.1056E+02 -1.4411E+02 -1.1056E+02 -1.1056E+02 -1.1802E+02 -1.1142E+02 -1.4411E+02 -1.4486E+02 -1.5211E+02 -1.1056E+02 -1.1803E+02 -1.1142E+02  2.9654E-06  6.2310E-08  2.9647E-06  8.8838E-07  8.8838E-07  1.8943E-06  1.9043E-06  4.0399E-08  4.0399E-08  1.7497E-08  1.7589E-08  8.8746E-07  8.8746E-07  1.8943E-06  1.9043E-06  3.9997E-03  3.9989E-03  8.4044E-05  0.0000E+00  0.0000E+00 -4.7959E+01 -4.7961E+01 -8.1510E+01 -3.0000E+02 -1.1056E+02 -1.1056E+02 -1.4411E+02 -3.0000E+02
 2.9068E+01 -1.1080E+02 -1.4411E+02 -1.1080E+02 -1.1080E+02 -1.1826E+02 -1.1166E+02 -1.4411E+02 -1.4486E+02 -1.5211E+02 -1.1080E+02 -1.1827E+02 -1.1166E+02  2.8833E-06  6.2310E-08  2.8826E-06  8.6383E-07  8.6383E-07  1.8419E-06  1.8516E-06  4.0399E-08  4.0399E-08  1.7497E-08  1.7589E-08  8.6288E-07  8.6289E-07  1.8418E-06  1.8515E-06  3.8888E-03  3.8878E-03  8.4038E-05  0.0000E+00  0.0000E+00 -4.8204E+01 -4.8206E+01 -8.1510E+01 -3.0000E+02 -1.1080E+02 -1.1080E+02 -1.4411E+02 -3.0000E+02
