DCXY        Vout        V(OUT)     
-2.7300E-04  6.6928E-01  6.6928E-01
-2.7200E-04  6.6948E-01  6.6948E-01
-2.7100E-04  6.6968E-01  6.6968E-01
-2.7000E-04  6.6989E-01  6.6989E-01
-2.6900E-04  6.7009E-01  6.7009E-01
-2.6800E-04  6.7030E-01  6.7030E-01
-2.6700E-04  6.7051E-01  6.7051E-01
-2.6600E-04  6.7072E-01  6.7072E-01
-2.6500E-04  6.7093E-01  6.7093E-01
-2.6400E-04  6.7114E-01  6.7114E-01
-2.6300E-04  6.7135E-01  6.7135E-01
-2.6200E-04  6.7157E-01  6.7157E-01
-2.6100E-04  6.7178E-01  6.7178E-01
-2.6000E-04  6.7200E-01  6.7200E-01
-2.5900E-04  6.7222E-01  6.7222E-01
-2.5800E-04  6.7244E-01  6.7244E-01
-2.5700E-04  6.7266E-01  6.7266E-01
-2.5600E-04  6.7289E-01  6.7289E-01
-2.5500E-04  6.7311E-01  6.7311E-01
-2.5400E-04  6.7334E-01  6.7334E-01
-2.5300E-04  6.7356E-01  6.7356E-01
-2.5200E-04  6.7379E-01  6.7379E-01
-2.5100E-04  6.7403E-01  6.7403E-01
-2.5000E-04  6.7426E-01  6.7426E-01
-2.4900E-04  6.7449E-01  6.7449E-01
-2.4800E-04  6.7473E-01  6.7473E-01
-2.4700E-04  6.7497E-01  6.7497E-01
-2.4600E-04  6.7521E-01  6.7521E-01
-2.4500E-04  6.7545E-01  6.7545E-01
-2.4400E-04  6.7569E-01  6.7569E-01
-2.4300E-04  6.7594E-01  6.7594E-01
-2.4200E-04  6.7619E-01  6.7619E-01
-2.4100E-04  6.7643E-01  6.7643E-01
-2.4000E-04  6.7669E-01  6.7669E-01
-2.3900E-04  6.7694E-01  6.7694E-01
-2.3800E-04  6.7719E-01  6.7719E-01
-2.3700E-04  6.7745E-01  6.7745E-01
-2.3600E-04  6.7771E-01  6.7771E-01
-2.3500E-04  6.7797E-01  6.7797E-01
-2.3400E-04  6.7823E-01  6.7823E-01
-2.3300E-04  6.7849E-01  6.7849E-01
-2.3200E-04  6.7876E-01  6.7876E-01
-2.3100E-04  6.7903E-01  6.7903E-01
-2.3000E-04  6.7930E-01  6.7930E-01
-2.2900E-04  6.7957E-01  6.7957E-01
-2.2800E-04  6.7985E-01  6.7985E-01
-2.2700E-04  6.8013E-01  6.8013E-01
-2.2600E-04  6.8040E-01  6.8040E-01
-2.2500E-04  6.8069E-01  6.8069E-01
-2.2400E-04  6.8097E-01  6.8097E-01
-2.2300E-04  6.8126E-01  6.8126E-01
-2.2200E-04  6.8155E-01  6.8155E-01
-2.2100E-04  6.8184E-01  6.8184E-01
-2.2000E-04  6.8213E-01  6.8213E-01
-2.1900E-04  6.8243E-01  6.8243E-01
-2.1800E-04  6.8273E-01  6.8273E-01
-2.1700E-04  6.8303E-01  6.8303E-01
-2.1600E-04  6.8333E-01  6.8333E-01
-2.1500E-04  6.8364E-01  6.8364E-01
-2.1400E-04  6.8395E-01  6.8395E-01
-2.1300E-04  6.8426E-01  6.8426E-01
-2.1200E-04  6.8457E-01  6.8457E-01
-2.1100E-04  6.8489E-01  6.8489E-01
-2.1000E-04  6.8521E-01  6.8521E-01
-2.0900E-04  6.8553E-01  6.8553E-01
-2.0800E-04  6.8586E-01  6.8586E-01
-2.0700E-04  6.8619E-01  6.8619E-01
-2.0600E-04  6.8652E-01  6.8652E-01
-2.0500E-04  6.8685E-01  6.8685E-01
-2.0400E-04  6.8719E-01  6.8719E-01
-2.0300E-04  6.8753E-01  6.8753E-01
-2.0200E-04  6.8788E-01  6.8788E-01
-2.0100E-04  6.8822E-01  6.8822E-01
-2.0000E-04  6.8857E-01  6.8857E-01
-1.9900E-04  6.8893E-01  6.8893E-01
-1.9800E-04  6.8928E-01  6.8928E-01
-1.9700E-04  6.8964E-01  6.8964E-01
-1.9600E-04  6.9001E-01  6.9001E-01
-1.9500E-04  6.9037E-01  6.9037E-01
-1.9400E-04  6.9075E-01  6.9075E-01
-1.9300E-04  6.9112E-01  6.9112E-01
-1.9200E-04  6.9150E-01  6.9150E-01
-1.9100E-04  6.9188E-01  6.9188E-01
-1.9000E-04  6.9227E-01  6.9227E-01
-1.8900E-04  6.9266E-01  6.9266E-01
-1.8800E-04  6.9305E-01  6.9305E-01
-1.8700E-04  6.9345E-01  6.9345E-01
-1.8600E-04  6.9385E-01  6.9385E-01
-1.8500E-04  6.9425E-01  6.9425E-01
-1.8400E-04  6.9466E-01  6.9466E-01
-1.8300E-04  6.9507E-01  6.9507E-01
-1.8200E-04  6.9549E-01  6.9549E-01
-1.8100E-04  6.9591E-01  6.9591E-01
-1.8000E-04  6.9634E-01  6.9634E-01
-1.7900E-04  6.9677E-01  6.9677E-01
-1.7800E-04  6.9721E-01  6.9721E-01
-1.7700E-04  6.9765E-01  6.9765E-01
-1.7600E-04  6.9809E-01  6.9809E-01
-1.7500E-04  6.9854E-01  6.9854E-01
-1.7400E-04  6.9900E-01  6.9900E-01
-1.7300E-04  6.9945E-01  6.9945E-01
-1.7200E-04  6.9992E-01  6.9992E-01
-1.7100E-04  7.0039E-01  7.0039E-01
-1.7000E-04  7.0086E-01  7.0086E-01
-1.6900E-04  7.0134E-01  7.0134E-01
-1.6800E-04  7.0182E-01  7.0182E-01
-1.6700E-04  7.0231E-01  7.0231E-01
-1.6600E-04  7.0281E-01  7.0281E-01
-1.6500E-04  7.0331E-01  7.0331E-01
-1.6400E-04  7.0381E-01  7.0381E-01
-1.6300E-04  7.0432E-01  7.0432E-01
-1.6200E-04  7.0484E-01  7.0484E-01
-1.6100E-04  7.0536E-01  7.0536E-01
-1.6000E-04  7.0589E-01  7.0589E-01
-1.5900E-04  7.0643E-01  7.0643E-01
-1.5800E-04  7.0697E-01  7.0697E-01
-1.5700E-04  7.0751E-01  7.0751E-01
-1.5600E-04  7.0807E-01  7.0807E-01
-1.5500E-04  7.0863E-01  7.0863E-01
-1.5400E-04  7.0919E-01  7.0919E-01
-1.5300E-04  7.0976E-01  7.0976E-01
-1.5200E-04  7.1034E-01  7.1034E-01
-1.5100E-04  7.1092E-01  7.1092E-01
-1.5000E-04  7.1152E-01  7.1152E-01
-1.4900E-04  7.1211E-01  7.1211E-01
-1.4800E-04  7.1272E-01  7.1272E-01
-1.4700E-04  7.1333E-01  7.1333E-01
-1.4600E-04  7.1395E-01  7.1395E-01
-1.4500E-04  7.1457E-01  7.1457E-01
-1.4400E-04  7.1520E-01  7.1520E-01
-1.4300E-04  7.1584E-01  7.1584E-01
-1.4200E-04  7.1649E-01  7.1649E-01
-1.4100E-04  7.1715E-01  7.1715E-01
-1.4000E-04  7.1781E-01  7.1781E-01
-1.3900E-04  7.1848E-01  7.1848E-01
-1.3800E-04  7.1915E-01  7.1915E-01
-1.3700E-04  7.1984E-01  7.1984E-01
-1.3600E-04  7.2053E-01  7.2053E-01
-1.3500E-04  7.2123E-01  7.2123E-01
-1.3400E-04  7.2193E-01  7.2193E-01
-1.3300E-04  7.2265E-01  7.2265E-01
-1.3200E-04  7.2337E-01  7.2337E-01
-1.3100E-04  7.2410E-01  7.2410E-01
-1.3000E-04  7.2484E-01  7.2484E-01
-1.2900E-04  7.2559E-01  7.2559E-01
-1.2800E-04  7.2634E-01  7.2634E-01
-1.2700E-04  7.2710E-01  7.2710E-01
-1.2600E-04  7.2787E-01  7.2787E-01
-1.2500E-04  7.2865E-01  7.2865E-01
-1.2400E-04  7.2944E-01  7.2944E-01
-1.2300E-04  7.3023E-01  7.3023E-01
-1.2200E-04  7.3104E-01  7.3104E-01
-1.2100E-04  7.3185E-01  7.3185E-01
-1.2000E-04  7.3267E-01  7.3267E-01
-1.1900E-04  7.3349E-01  7.3349E-01
-1.1800E-04  7.3433E-01  7.3433E-01
-1.1700E-04  7.3517E-01  7.3517E-01
-1.1600E-04  7.3603E-01  7.3603E-01
-1.1500E-04  7.3689E-01  7.3689E-01
-1.1400E-04  7.3776E-01  7.3776E-01
-1.1300E-04  7.3863E-01  7.3863E-01
-1.1200E-04  7.3952E-01  7.3952E-01
-1.1100E-04  7.4041E-01  7.4041E-01
-1.1000E-04  7.4131E-01  7.4131E-01
-1.0900E-04  7.4222E-01  7.4222E-01
-1.0800E-04  7.4314E-01  7.4314E-01
-1.0700E-04  7.4406E-01  7.4406E-01
-1.0600E-04  7.4500E-01  7.4500E-01
-1.0500E-04  7.4594E-01  7.4594E-01
-1.0400E-04  7.4689E-01  7.4689E-01
-1.0300E-04  7.4784E-01  7.4784E-01
-1.0200E-04  7.4881E-01  7.4881E-01
-1.0100E-04  7.4978E-01  7.4978E-01
-1.0000E-04  7.5076E-01  7.5076E-01
-9.9000E-05  7.5174E-01  7.5174E-01
-9.8000E-05  7.5274E-01  7.5274E-01
-9.7000E-05  7.5374E-01  7.5374E-01
-9.6000E-05  7.5475E-01  7.5475E-01
-9.5000E-05  7.5576E-01  7.5576E-01
-9.4000E-05  7.5679E-01  7.5679E-01
-9.3000E-05  7.5782E-01  7.5782E-01
-9.2000E-05  7.5885E-01  7.5885E-01
-9.1000E-05  7.5989E-01  7.5989E-01
-9.0000E-05  7.6094E-01  7.6094E-01
-8.9000E-05  7.6200E-01  7.6200E-01
-8.8000E-05  7.6306E-01  7.6306E-01
-8.7000E-05  7.6413E-01  7.6413E-01
-8.6000E-05  7.6521E-01  7.6521E-01
-8.5000E-05  7.6629E-01  7.6629E-01
-8.4000E-05  7.6737E-01  7.6737E-01
-8.3000E-05  7.6847E-01  7.6847E-01
-8.2000E-05  7.6957E-01  7.6957E-01
-8.1000E-05  7.7067E-01  7.7067E-01
-8.0000E-05  7.7178E-01  7.7178E-01
-7.9000E-05  7.7290E-01  7.7290E-01
-7.8000E-05  7.7402E-01  7.7402E-01
-7.7000E-05  7.7514E-01  7.7514E-01
-7.6000E-05  7.7627E-01  7.7627E-01
-7.5000E-05  7.7741E-01  7.7741E-01
-7.4000E-05  7.7855E-01  7.7855E-01
-7.3000E-05  7.7970E-01  7.7970E-01
-7.2000E-05  7.8085E-01  7.8085E-01
-7.1000E-05  7.8201E-01  7.8201E-01
-7.0000E-05  7.8317E-01  7.8317E-01
-6.9000E-05  7.8433E-01  7.8433E-01
-6.8000E-05  7.8550E-01  7.8550E-01
-6.7000E-05  7.8667E-01  7.8667E-01
-6.6000E-05  7.8785E-01  7.8785E-01
-6.5000E-05  7.8903E-01  7.8903E-01
-6.4000E-05  7.9022E-01  7.9022E-01
-6.3000E-05  7.9141E-01  7.9141E-01
-6.2000E-05  7.9261E-01  7.9261E-01
-6.1000E-05  7.9380E-01  7.9380E-01
-6.0000E-05  7.9500E-01  7.9500E-01
-5.9000E-05  7.9621E-01  7.9621E-01
-5.8000E-05  7.9742E-01  7.9742E-01
-5.7000E-05  7.9863E-01  7.9863E-01
-5.6000E-05  7.9985E-01  7.9985E-01
-5.5000E-05  8.0107E-01  8.0107E-01
-5.4000E-05  8.0229E-01  8.0229E-01
-5.3000E-05  8.0352E-01  8.0352E-01
-5.2000E-05  8.0475E-01  8.0475E-01
-5.1000E-05  8.0598E-01  8.0598E-01
-5.0000E-05  8.0722E-01  8.0722E-01
-4.9000E-05  8.0845E-01  8.0845E-01
-4.8000E-05  8.0970E-01  8.0970E-01
