DCXY        Vout        V(OUT)     

-9.0000E-01  9.9025E-02  9.9025E-02
-8.9800E-01  9.9791E-02  9.9791E-02
-8.9600E-01  1.0056E-01  1.0056E-01
-8.9400E-01  1.0133E-01  1.0133E-01
-8.9200E-01  1.0210E-01  1.0210E-01
-8.9000E-01  1.0287E-01  1.0287E-01
-8.8800E-01  1.0364E-01  1.0364E-01
-8.8600E-01  1.0442E-01  1.0442E-01
-8.8400E-01  1.0520E-01  1.0520E-01
-8.8200E-01  1.0597E-01  1.0597E-01
-8.8000E-01  1.0675E-01  1.0675E-01
-8.7800E-01  1.0753E-01  1.0753E-01
-8.7600E-01  1.0832E-01  1.0832E-01
-8.7400E-01  1.0910E-01  1.0910E-01
-8.7200E-01  1.0989E-01  1.0989E-01
-8.7000E-01  1.1067E-01  1.1067E-01
-8.6800E-01  1.1146E-01  1.1146E-01
-8.6600E-01  1.1225E-01  1.1225E-01
-8.6400E-01  1.1304E-01  1.1304E-01
-8.6200E-01  1.1383E-01  1.1383E-01
-8.6000E-01  1.1463E-01  1.1463E-01
-8.5800E-01  1.1542E-01  1.1542E-01
-8.5600E-01  1.1622E-01  1.1622E-01
-8.5400E-01  1.1702E-01  1.1702E-01
-8.5200E-01  1.1782E-01  1.1782E-01
-8.5000E-01  1.1862E-01  1.1862E-01
-8.4800E-01  1.1942E-01  1.1942E-01
-8.4600E-01  1.2022E-01  1.2022E-01
-8.4400E-01  1.2102E-01  1.2102E-01
-8.4200E-01  1.2183E-01  1.2183E-01
-8.4000E-01  1.2264E-01  1.2264E-01
-8.3800E-01  1.2344E-01  1.2344E-01
-8.3600E-01  1.2425E-01  1.2425E-01
-8.3400E-01  1.2506E-01  1.2506E-01
-8.3200E-01  1.2587E-01  1.2587E-01
-8.3000E-01  1.2669E-01  1.2669E-01
-8.2800E-01  1.2750E-01  1.2750E-01
-8.2600E-01  1.2832E-01  1.2832E-01
-8.2400E-01  1.2913E-01  1.2913E-01
-8.2200E-01  1.2995E-01  1.2995E-01
-8.2000E-01  1.3077E-01  1.3077E-01
-8.1800E-01  1.3159E-01  1.3159E-01
-8.1600E-01  1.3241E-01  1.3241E-01
-8.1400E-01  1.3323E-01  1.3323E-01
-8.1200E-01  1.3405E-01  1.3405E-01
-8.1000E-01  1.3488E-01  1.3488E-01
-8.0800E-01  1.3570E-01  1.3570E-01
-8.0600E-01  1.3653E-01  1.3653E-01
-8.0400E-01  1.3736E-01  1.3736E-01
-8.0200E-01  1.3818E-01  1.3818E-01
-8.0000E-01  1.3901E-01  1.3901E-01
-7.9800E-01  1.3984E-01  1.3984E-01
-7.9600E-01  1.4068E-01  1.4068E-01
-7.9400E-01  1.4151E-01  1.4151E-01
-7.9200E-01  1.4234E-01  1.4234E-01
-7.9000E-01  1.4318E-01  1.4318E-01
-7.8800E-01  1.4401E-01  1.4401E-01
-7.8600E-01  1.4485E-01  1.4485E-01
-7.8400E-01  1.4569E-01  1.4569E-01
-7.8200E-01  1.4652E-01  1.4652E-01
-7.8000E-01  1.4736E-01  1.4736E-01
-7.7800E-01  1.4820E-01  1.4820E-01
-7.7600E-01  1.4905E-01  1.4905E-01
-7.7400E-01  1.4989E-01  1.4989E-01
-7.7200E-01  1.5073E-01  1.5073E-01
-7.7000E-01  1.5158E-01  1.5158E-01
-7.6800E-01  1.5242E-01  1.5242E-01
-7.6600E-01  1.5327E-01  1.5327E-01
-7.6400E-01  1.5412E-01  1.5412E-01
-7.6200E-01  1.5496E-01  1.5496E-01
-7.6000E-01  1.5581E-01  1.5581E-01
-7.5800E-01  1.5666E-01  1.5666E-01
-7.5600E-01  1.5751E-01  1.5751E-01
-7.5400E-01  1.5837E-01  1.5837E-01
-7.5200E-01  1.5922E-01  1.5922E-01
-7.5000E-01  1.6007E-01  1.6007E-01
-7.4800E-01  1.6093E-01  1.6093E-01
-7.4600E-01  1.6178E-01  1.6178E-01
-7.4400E-01  1.6264E-01  1.6264E-01
-7.4200E-01  1.6350E-01  1.6350E-01
-7.4000E-01  1.6435E-01  1.6435E-01
-7.3800E-01  1.6521E-01  1.6521E-01
-7.3600E-01  1.6607E-01  1.6607E-01
-7.3400E-01  1.6693E-01  1.6693E-01
-7.3200E-01  1.6780E-01  1.6780E-01
-7.3000E-01  1.6866E-01  1.6866E-01
-7.2800E-01  1.6952E-01  1.6952E-01
-7.2600E-01  1.7038E-01  1.7038E-01
