 frequency       Zout            Zout            ReZout          ImZout         
 1.00000000e+01  2.86816271e+07 -2.37989972e+02  2.86816271e+07 -2.37989972e+02 
 1.04618344e+01  2.86816271e+07 -2.48981169e+02  2.86816271e+07 -2.48981169e+02 
 1.09449980e+01  2.86816271e+07 -2.60479977e+02  2.86816271e+07 -2.60479977e+02 
 1.14504757e+01  2.86816271e+07 -2.72509840e+02  2.86816271e+07 -2.72509840e+02 
 1.19792981e+01  2.86816271e+07 -2.85095283e+02  2.86816271e+07 -2.85095283e+02 
 1.25325434e+01  2.86816271e+07 -2.98261965e+02  2.86816271e+07 -2.98261965e+02 
 1.31113394e+01  2.86816271e+07 -3.12036730e+02  2.86816271e+07 -3.12036730e+02 
 1.37168662e+01  2.86816271e+07 -3.26447661e+02  2.86816271e+07 -3.26447661e+02 
 1.43503583e+01  2.86816271e+07 -3.41524138e+02  2.86816271e+07 -3.41524138e+02 
 1.50131073e+01  2.86816271e+07 -3.57296899e+02  2.86816271e+07 -3.57296899e+02 
 1.57064643e+01  2.86816271e+07 -3.73798101e+02  2.86816271e+07 -3.73798101e+02 
 1.64318429e+01  2.86816271e+07 -3.91061384e+02  2.86816271e+07 -3.91061384e+02 
 1.71907220e+01  2.86816271e+07 -4.09121946e+02  2.86816271e+07 -4.09121946e+02 
 1.79846488e+01  2.86816271e+07 -4.28016607e+02  2.86816271e+07 -4.28016607e+02 
 1.88152418e+01  2.86816271e+07 -4.47783888e+02  2.86816271e+07 -4.47783888e+02 
 1.96841945e+01  2.86816271e+07 -4.68464090e+02  2.86816271e+07 -4.68464090e+02 
 2.05932784e+01  2.86816271e+07 -4.90099375e+02  2.86816271e+07 -4.90099375e+02 
 2.15443469e+01  2.86816271e+07 -5.12733852e+02  2.86816271e+07 -5.12733852e+02 
 2.25393390e+01  2.86816271e+07 -5.36413668e+02  2.86816271e+07 -5.36413668e+02 
 2.35802834e+01  2.86816271e+07 -5.61187099e+02  2.86816271e+07 -5.61187099e+02 
 2.46693021e+01  2.86816271e+07 -5.87104652e+02  2.86816271e+07 -5.87104652e+02 
 2.58086154e+01  2.86816271e+07 -6.14219167e+02  2.86816271e+07 -6.14219167e+02 
 2.70005462e+01  2.86816271e+07 -6.42585923e+02  2.86816271e+07 -6.42585923e+02 
 2.82475244e+01  2.86816271e+07 -6.72262755e+02  2.86816271e+07 -6.72262755e+02 
 2.95520924e+01  2.86816271e+07 -7.03310164e+02  2.86816271e+07 -7.03310164e+02 
 3.09169098e+01  2.86816271e+07 -7.35791450e+02  2.86816271e+07 -7.35791450e+02 
 3.23447591e+01  2.86816271e+07 -7.69772834e+02  2.86816271e+07 -7.69772834e+02 
 3.38385515e+01  2.86816271e+07 -8.05323594e+02  2.86816271e+07 -8.05323594e+02 
 3.54013324e+01  2.86816271e+07 -8.42516212e+02  2.86816271e+07 -8.42516212e+02 
 3.70362879e+01  2.86816271e+07 -8.81426512e+02  2.86816271e+07 -8.81426512e+02 
 3.87467512e+01  2.86816271e+07 -9.22133824e+02  2.86816271e+07 -9.22133824e+02 
 4.05362096e+01  2.86816271e+07 -9.64721141e+02  2.86816271e+07 -9.64721141e+02 
 4.24083114e+01  2.86816271e+07 -1.00927529e+03  2.86816271e+07 -1.00927529e+03 
