 time            v(inp)          v(out)         
 1.00001000e-07  4.30000000e-01  4.04013873e-01 
 1.00003000e-07  4.90000000e-01  4.04111779e-01 
 1.00007000e-07  6.10000000e-01  4.04231736e-01 
 1.00010000e-07  7.00000000e-01  4.04300500e-01 
 1.00010800e-07  7.00000000e-01  4.04302096e-01 
 1.00012400e-07  7.00000000e-01  4.04302102e-01 
 1.00015600e-07  7.00000000e-01  4.04301551e-01 
 1.00022000e-07  7.00000000e-01  4.04300980e-01 
 1.00034800e-07  7.00000000e-01  4.04299355e-01 
 1.00060400e-07  7.00000000e-01  4.04296703e-01 
 1.00111600e-07  7.00000000e-01  4.04291358e-01 
 1.00214000e-07  7.00000000e-01  4.04283122e-01 
 1.00418800e-07  7.00000000e-01  4.04274110e-01 
 1.00828400e-07  7.00000000e-01  4.04283557e-01 
 1.01647600e-07  7.00000000e-01  4.04370118e-01 
 1.02747600e-07  7.00000000e-01  4.04554062e-01 
 1.03847600e-07  7.00000000e-01  4.04761368e-01 
 1.04947600e-07  7.00000000e-01  4.04973423e-01 
 1.06047600e-07  7.00000000e-01  4.05187541e-01 
 1.07147600e-07  7.00000000e-01  4.05406451e-01 
 1.08247600e-07  7.00000000e-01  4.05632339e-01 
 1.09347600e-07  7.00000000e-01  4.05868529e-01 
 1.10447600e-07  7.00000000e-01  4.06116685e-01 
 1.11547600e-07  7.00000000e-01  4.06379283e-01 
 1.12647600e-07  7.00000000e-01  4.06657024e-01 
 1.13747600e-07  7.00000000e-01  4.06951402e-01 
 1.14847600e-07  7.00000000e-01  4.07262166e-01 
 1.15947600e-07  7.00000000e-01  4.07589898e-01 
 1.17047600e-07  7.00000000e-01  4.07933810e-01 
 1.18147600e-07  7.00000000e-01  4.08294051e-01 
 1.19247600e-07  7.00000000e-01  4.08668922e-01 
 1.20347600e-07  7.00000000e-01  4.09057900e-01 
 1.21447600e-07  7.00000000e-01  4.09459133e-01 
 1.22547600e-07  7.00000000e-01  4.09872050e-01 
 1.23647600e-07  7.00000000e-01  4.10294833e-01 
 1.24747600e-07  7.00000000e-01  4.10727004e-01 
 1.25847600e-07  7.00000000e-01  4.11166877e-01 
 1.26947600e-07  7.00000000e-01  4.11614131e-01 
 1.28047600e-07  7.00000000e-01  4.12067253e-01 
 1.29147600e-07  7.00000000e-01  4.12526101e-01 
 1.30247600e-07  7.00000000e-01  4.12989333e-01 
 1.31347600e-07  7.00000000e-01  4.13456973e-01 
 1.32447600e-07  7.00000000e-01  4.13927837e-01 
 1.33547600e-07  7.00000000e-01  4.14402093e-01 
 1.34647600e-07  7.00000000e-01  4.14878686e-01 
 1.35747600e-07  7.00000000e-01  4.15357902e-01 
 1.36847600e-07  7.00000000e-01  4.15838792e-01 
 1.37947600e-07  7.00000000e-01  4.16321734e-01 
 1.39047600e-07  7.00000000e-01  4.16805860e-01 
 1.40147600e-07  7.00000000e-01  4.17291620e-01 
 1.41247600e-07  7.00000000e-01  4.17778208e-01 
 1.42347600e-07  7.00000000e-01  4.18266127e-01 
 1.43447600e-07  7.00000000e-01  4.18754617e-01 
 1.44547600e-07  7.00000000e-01  4.19244220e-01 
 1.45647600e-07  7.00000000e-01  4.19734212e-01 
 1.46747600e-07  7.00000000e-01  4.20225163e-01 
 1.47847600e-07  7.00000000e-01  4.20716373e-01 
 1.48947600e-07  7.00000000e-01  4.21208434e-01 
 1.50047600e-07  7.00000000e-01  4.21700665e-01 
 1.51147600e-07  7.00000000e-01  4.22193670e-01 
 1.52247600e-07  7.00000000e-01  4.22686783e-01 
 1.53347600e-07  7.00000000e-01  4.23180618e-01 
 1.54447600e-07  7.00000000e-01  4.23674519e-01 
 1.55547600e-07  7.00000000e-01  4.24169107e-01 
 1.56647600e-07  7.00000000e-01  4.24663731e-01 
 1.57747600e-07  7.00000000e-01  4.25159020e-01 
 1.58847600e-07  7.00000000e-01  4.25654327e-01 
 1.59947600e-07  7.00000000e-01  4.26150283e-01 
 1.61047600e-07  7.00000000e-01  4.26646245e-01 
 1.62147600e-07  7.00000000e-01  4.27142847e-01 
 1.63247600e-07  7.00000000e-01  4.27639448e-01 
 1.64347600e-07  7.00000000e-01  4.28136685e-01 
 1.65447600e-07  7.00000000e-01  4.28633916e-01 
 1.66547600e-07  7.00000000e-01  4.29131780e-01 
 1.67647600e-07  7.00000000e-01  4.29629638e-01 
 1.68747600e-07  7.00000000e-01  4.30128128e-01 
 1.69847600e-07  7.00000000e-01  4.30626613e-01 
 1.70947600e-07  7.00000000e-01  4.31125729e-01 
 1.72047600e-07  7.00000000e-01  4.31624842e-01 
 1.73147600e-07  7.00000000e-01  4.32124588e-01 
 1.74247600e-07  7.00000000e-01  4.32624332e-01 
 1.75347600e-07  7.00000000e-01  4.33124712e-01 
 1.76447600e-07  7.00000000e-01  4.33625092e-01 
 1.77547600e-07  7.00000000e-01  4.34126111e-01 
 1.78647600e-07  7.00000000e-01  4.34627132e-01 
 1.79747600e-07  7.00000000e-01  4.35128795e-01 
 1.80847600e-07  7.00000000e-01  4.35630464e-01 
 1.81947600e-07  7.00000000e-01  4.36132776e-01 
 1.83047600e-07  7.00000000e-01  4.36635098e-01 
 1.84147600e-07  7.00000000e-01  4.37138067e-01 
 1.85247600e-07  7.00000000e-01  4.37641048e-01 
 1.86347600e-07  7.00000000e-01  4.38144679e-01 
 1.87447600e-07  7.00000000e-01  4.38648325e-01 
 1.88547600e-07  7.00000000e-01  4.39152624e-01 
 1.89647600e-07  7.00000000e-01  4.39656942e-01 
 1.90747600e-07  7.00000000e-01  4.40161915e-01 
 1.91847600e-07  7.00000000e-01  4.40666910e-01 
 1.92947600e-07  7.00000000e-01  4.41172564e-01 
 1.94047600e-07  7.00000000e-01  4.41678243e-01 
 1.95147600e-07  7.00000000e-01  4.42184583e-01 
 1.96247600e-07  7.00000000e-01  4.42690952e-01 
 1.97347600e-07  7.00000000e-01  4.43197984e-01 
 1.98447600e-07  7.00000000e-01  4.43705048e-01 
 1.99547600e-07  7.00000000e-01  4.44212779e-01 
 2.00647600e-07  7.00000000e-01  4.44720544e-01 
 2.01747600e-07  7.00000000e-01  4.45228978e-01 
 2.02847600e-07  7.00000000e-01  4.45737449e-01 
 2.03947600e-07  7.00000000e-01  4.46246592e-01 
 2.05047600e-07  7.00000000e-01  4.46755776e-01 
 2.06147600e-07  7.00000000e-01  4.47265634e-01 
 2.07247600e-07  7.00000000e-01  4.47775534e-01 
 2.08347600e-07  7.00000000e-01  4.48286112e-01 
 2.09447600e-07  7.00000000e-01  4.48796735e-01 
 2.10547600e-07  7.00000000e-01  4.49308036e-01 
 2.11647600e-07  7.00000000e-01  4.49819386e-01 
 2.12747600e-07  7.00000000e-01  4.50331417e-01 
 2.13847600e-07  7.00000000e-01  4.50843499e-01 
 2.14947600e-07  7.00000000e-01  4.51356263e-01 
 2.16047600e-07  7.00000000e-01  4.51869081e-01 
 2.17147600e-07  7.00000000e-01  4.52382583e-01 
 2.18247600e-07  7.00000000e-01  4.52896141e-01 
 2.19347600e-07  7.00000000e-01  4.53410385e-01 
 2.20447600e-07  7.00000000e-01  4.53924686e-01 
 2.21547600e-07  7.00000000e-01  4.54439677e-01 
 2.22647600e-07  7.00000000e-01  4.54954726e-01 
 2.23747600e-07  7.00000000e-01  4.55470465e-01 
 2.24847600e-07  7.00000000e-01  4.55986265e-01 
 2.25947600e-07  7.00000000e-01  4.56502756e-01 
 2.27047600e-07  7.00000000e-01  4.57019311e-01 
 2.28147600e-07  7.00000000e-01  4.57536557e-01 
 2.29247600e-07  7.00000000e-01  4.58053868e-01 
 2.30347600e-07  7.00000000e-01  4.58571873e-01 
 2.31447600e-07  7.00000000e-01  4.59089942e-01 
 2.32547600e-07  7.00000000e-01  4.59608707e-01 
 2.33647600e-07  7.00000000e-01  4.60127538e-01 
 2.34747600e-07  7.00000000e-01  4.60647065e-01 
