 @n.x1.nsg13_lv_nmos[ids] @n.x1.Nsg13_lv_nmos[ids] @n.x1.Nsg13_lv_nmos[gm] @n.x1.Nsg13_lv_nmos[gds] @n.x1.Nsg13_lv_nmos[cgdol] @n.x1.Nsg13_lv_nmos[cgsol] @n.x1.Nsg13_lv_nmos[lp_cgov] @n.x1.Nsg13_lv_nmos[lp_cfr] @n.x1.Nsg13_lv_nmos[cjd] @n.x1.Nsg13_lv_nmos[cjdbot] @n.x1.Nsg13_lv_nmos[cjdgat] @n.x1.Nsg13_lv_nmos[cjdsti] @n.x1.Nsg13_lv_nmos[cjosbot] @n.x1.Nsg13_lv_nmos[cjossti] @n.x1.Nsg13_lv_nmos[cjosgat] @n.x1.Nsg13_lv_nmos[fug]
 5.57000063e-07  5.57000063e-07  1.47114564e-05  6.33260489e-07  1.95845280e-15  1.99690142e-15  1.47205230e-15  6.45200000e-16  1.18789726e-15  1.00148193e-15  9.29437117e-17  9.34716177e-17  1.07905106e-15  9.89790542e-17  9.72886445e-17  1.86257988e+08 
 @n.x1.nsg13_lv_nmos[ids] @n.x2.Nsg13_lv_nmos[ids] @n.x2.Nsg13_lv_nmos[gm] @n.x2.Nsg13_lv_nmos[gds] @n.x2.Nsg13_lv_nmos[cgdol] @n.x2.Nsg13_lv_nmos[cgsol] @n.x2.Nsg13_lv_nmos[lp_cgov] @n.x2.Nsg13_lv_nmos[lp_cfr] @n.x2.Nsg13_lv_nmos[cjd] @n.x2.Nsg13_lv_nmos[cjdbot] @n.x2.Nsg13_lv_nmos[cjdgat] @n.x2.Nsg13_lv_nmos[cjdsti] @n.x2.Nsg13_lv_nmos[cjosbot] @n.x2.Nsg13_lv_nmos[cjossti] @n.x2.Nsg13_lv_nmos[cjosgat] @n.x2.Nsg13_lv_nmos[fug]
 5.57000063e-07  5.56999925e-07  1.47114531e-05  6.33260478e-07  1.95845284e-15  1.99690142e-15  1.47205230e-15  6.45200000e-16  1.18789735e-15  1.00148201e-15  9.29437171e-17  9.34716238e-17  1.07905106e-15  9.89790542e-17  9.72886445e-17  1.86257945e+08 
