 frequency       inoise_spectrum onoise_spectrum
 1.55051578e+05  4.99555040e-08  3.49837089e-07 
 1.73019574e+05  4.73409646e-08  3.31527537e-07 
 1.93069773e+05  4.48686893e-08  3.14214257e-07 
 2.15443469e+05  4.25312351e-08  2.97845126e-07 
 2.40409918e+05  4.03215624e-08  2.82370845e-07 
 2.68269580e+05  3.82330138e-08  2.67744793e-07 
 2.99357729e+05  3.62592935e-08  2.53922881e-07 
 3.34048498e+05  3.43944482e-08  2.40863417e-07 
 3.72759372e+05  3.26328485e-08  2.28526979e-07 
 4.15956216e+05  3.09691716e-08  2.16876292e-07 
 4.64158883e+05  2.93983848e-08  2.05876111e-07 
 5.17947468e+05  2.79157294e-08  1.95493113e-07 
 5.77969288e+05  2.65167061e-08  1.85695787e-07 
 6.44946677e+05  2.51970598e-08  1.76454336e-07 
 7.19685673e+05  2.39527668e-08  1.67740581e-07 
 8.03085722e+05  2.27800209e-08  1.59527869e-07 
 8.96150502e+05  2.16752211e-08  1.51790981e-07 
 1.00000000e+06  2.06349594e-08  1.44506050e-07 
 1.11588399e+06  1.96560088e-08  1.37650479e-07 
 1.24519708e+06  1.87353126e-08  1.31202860e-07 
 1.38949549e+06  1.78699730e-08  1.25142901e-07 
 1.55051578e+06  1.70572410e-08  1.19451350e-07 
 1.73019574e+06  1.62945060e-08  1.14109924e-07 
 1.93069773e+06  1.55792862e-08  1.09101245e-07 
 2.15443469e+06  1.49092195e-08  1.04408768e-07 
 2.40409918e+06  1.42820541e-08  1.00016724e-07 
 2.68269580e+06  1.36956403e-08  9.59100588e-08 
 2.99357729e+06  1.31479225e-08  9.20743750e-08 
 3.34048498e+06  1.26369313e-08  8.84958816e-08 
 3.72759372e+06  1.21607774e-08  8.51613443e-08 
 4.15956216e+06  1.17176441e-08  8.20580413e-08 
 4.64158883e+06  1.13057828e-08  7.91737242e-08 
 5.17947468e+06  1.09235075e-08  7.64965831e-08 
 5.77969288e+06  1.05691905e-08  7.40152175e-08 
 6.44946677e+06  1.02412595e-08  7.17186124e-08 
 7.19685673e+06  9.93819473e-09  6.95961199e-08 
 8.03085722e+06  9.65852688e-09  6.76374455e-08 
 8.96150502e+06  9.40083624e-09  6.58326398e-08 
 1.00000000e+07  9.16375193e-09  6.41720942e-08 
 1.11588399e+07  8.94595188e-09  6.26465397e-08 
 1.24519708e+07  8.74616323e-09  6.12470495e-08 
 1.38949549e+07  8.56316294e-09  5.99650423e-08 
 1.55051578e+07  8.39577865e-09  5.87922882e-08 
 1.73019574e+07  8.24288952e-09  5.77209132e-08 
 1.93069773e+07  8.10342709e-09  5.67434037e-08 
 2.15443469e+07  7.97637588e-09  5.58526104e-08 
 2.40409918e+07  7.86077386e-09  5.50417486e-08 
 2.68269580e+07  7.75571257e-09  5.43043972e-08 
 2.99357729e+07  7.66033690e-09  5.36344947e-08 
 3.34048498e+07  7.57384456e-09  5.30263318e-08 
 3.72759372e+07  7.49548523e-09  5.24745407e-08 
 4.15956216e+07  7.42455928e-09  5.19740816e-08 
 4.64158883e+07  7.36041634e-09  5.15202253e-08 
 5.17947468e+07  7.30245348e-09  5.11085328e-08 
 5.77969288e+07  7.25011327e-09  5.07348311e-08 
 6.44946677e+07  7.20288161e-09  5.03951857e-08 
 7.19685673e+07  7.16028547e-09  5.00858689e-08 
 8.03085722e+07  7.12189054e-09  4.98033239e-08 
 8.96150502e+07  7.08729877e-09  4.95441246e-08 
 1.00000000e+08  7.05614605e-09  4.93049289e-08 
