 v-sweep         ID              Gm             
 5.80000000e-01  3.45141419e-04  3.00263856e-03 
 5.90000000e-01  3.76051461e-04  3.17990011e-03 
 6.00000000e-01  4.08749074e-04  3.36005773e-03 
 6.10000000e-01  4.43260386e-04  3.54254695e-03 
 6.20000000e-01  4.79605945e-04  3.72681624e-03 
 6.30000000e-01  5.17800858e-04  3.91233006e-03 
 6.40000000e-01  5.57854969e-04  4.09857137e-03 
 6.50000000e-01  5.99773053e-04  4.28504378e-03 
 6.60000000e-01  6.43555032e-04  4.47127338e-03 
 6.70000000e-01  6.89196209e-04  4.65681036e-03 
 6.80000000e-01  7.36687513e-04  4.84123033e-03 
 6.90000000e-01  7.86015762e-04  5.02413540e-03 
 7.00000000e-01  8.37163933e-04  5.20515505e-03 
 7.10000000e-01  8.90111433e-04  5.38394663e-03 
 7.20000000e-01  9.43950900e-04  5.56019566e-03 
 7.30000000e-01  1.00043634e-03  5.73361587e-03 
 7.40000000e-01  1.05864207e-03  5.90394890e-03 
 7.50000000e-01  1.11853590e-03  6.07096390e-03 
 7.60000000e-01  1.18008347e-03  6.23445678e-03 
 7.70000000e-01  1.24324851e-03  6.39424939e-03 
 7.80000000e-01  1.30799312e-03  6.55018852e-03 
 7.90000000e-01  1.37427797e-03  6.70214473e-03 
 8.00000000e-01  1.44206257e-03  6.85001121e-03 
 8.10000000e-01  1.51130546e-03  6.99370244e-03 
 8.20000000e-01  1.58196445e-03  7.13315296e-03 
 8.30000000e-01  1.65399679e-03  7.26831601e-03 
 8.40000000e-01  1.72735935e-03  7.39916220e-03 
 8.50000000e-01  1.80200881e-03  7.52567827e-03 
 8.60000000e-01  1.87790178e-03  7.64786573e-03 
 8.70000000e-01  1.95499498e-03  7.76573966e-03 
 8.80000000e-01  2.03324533e-03  7.87932748e-03 
 8.90000000e-01  2.11261010e-03  7.98866772e-03 
 9.00000000e-01  2.19304700e-03  8.09380896e-03 
 9.10000000e-01  2.27451427e-03  8.19480868e-03 
 9.20000000e-01  2.35697078e-03  8.29173221e-03 
 9.30000000e-01  2.44037609e-03  8.38465178e-03 
 9.40000000e-01  2.52469051e-03  8.47364553e-03 
 9.50000000e-01  2.60987517e-03  8.55879663e-03 
 9.60000000e-01  2.69589206e-03  8.64019248e-03 
 9.70000000e-01  2.78270405e-03  8.71792388e-03 
 9.80000000e-01  2.87027496e-03  8.79208435e-03 
 9.90000000e-01  2.95856955e-03  8.86276945e-03 
 1.00000000e+00  3.04755352e-03  8.93007620e-03 
 1.01000000e+00  3.13719359e-03  8.99410248e-03 
 1.02000000e+00  3.22745744e-03  9.05494657e-03 
 1.03000000e+00  3.31831374e-03  9.11270671e-03 
 1.04000000e+00  3.40973213e-03  9.16748067e-03 
 1.05000000e+00  3.50168326e-03  9.21936542e-03 
 1.06000000e+00  3.59413870e-03  9.26845684e-03 
 1.07000000e+00  3.68707102e-03  9.31484943e-03 
 1.08000000e+00  3.78045368e-03  9.35863606e-03 
 1.09000000e+00  3.87426111e-03  9.39990786e-03 
 1.10000000e+00  3.96846861e-03  9.43875396e-03 
 1.11000000e+00  4.06305236e-03  9.47526142e-03 
 1.12000000e+00  4.15798942e-03  9.50951512e-03 
 1.13000000e+00  4.25325769e-03  9.54159765e-03 
 1.14000000e+00  4.34883585e-03  9.57158928e-03 
 1.15000000e+00  4.44470341e-03  9.59956790e-03 
 1.16000000e+00  4.54084063e-03  9.62560899e-03 
 1.17000000e+00  4.63722851e-03  9.64978565e-03 
 1.18000000e+00  4.73384877e-03  9.67216853e-03 
 1.19000000e+00  4.83068383e-03  9.69282592e-03 
 1.20000000e+00  4.92771679e-03  9.71182373e-03 
 1.21000000e+00  5.02493137e-03  9.72922553e-03 
 1.22000000e+00  5.12231194e-03  9.74509258e-03 
 1.23000000e+00  5.21984345e-03  9.75948390e-03 
 1.24000000e+00  5.31751145e-03  9.77245628e-03 
 1.25000000e+00  5.41530204e-03  9.78406438e-03 
 1.26000000e+00  5.51320183e-03  9.79436075e-03 
 1.27000000e+00  5.61119799e-03  9.80339588e-03 
 1.28000000e+00  5.70927816e-03  9.81121830e-03 
 1.29000000e+00  5.80743044e-03  9.81787462e-03 
 1.30000000e+00  5.90564342e-03  9.82340958e-03 
 1.31000000e+00  6.00390611e-03  9.82786611e-03 
 1.32000000e+00  6.10220793e-03  9.83128543e-03 
 1.33000000e+00  6.20053873e-03  9.83370707e-03 
 1.34000000e+00  6.29888872e-03  9.83516895e-03 
 1.35000000e+00  6.39724850e-03  9.83570743e-03 
 1.36000000e+00  6.49560902e-03  9.83535738e-03 
 1.37000000e+00  6.59396157e-03  9.83415222e-03 
 1.38000000e+00  6.69229776e-03  9.83212402e-03 
 1.39000000e+00  6.79060953e-03  9.82930349e-03 
 1.40000000e+00  6.88888911e-03  9.82572007e-03 
 1.41000000e+00  6.98712902e-03  9.82140199e-03 
 1.42000000e+00  7.08532204e-03  9.81637631e-03 
 1.43000000e+00  7.18346125e-03  9.81066895e-03 
 1.44000000e+00  7.28153996e-03  9.80430478e-03 
 1.45000000e+00  7.37955172e-03  9.79730761e-03 
 1.46000000e+00  7.47749033e-03  9.78970029e-03 
 1.47000000e+00  7.57534979e-03  9.78150471e-03 
 1.48000000e+00  7.67312434e-03  9.77274186e-03 
 1.49000000e+00  7.77080841e-03  9.76343186e-03 
 1.50000000e+00  7.86839662e-03  9.75359402e-03 
