 time            v(inp)          v(out)         
 2.58947600e-07  6.10000000e-01  6.07123276e-01 
 2.60047600e-07  6.10000000e-01  6.07148850e-01 
 2.61147600e-07  6.10000000e-01  6.07174324e-01 
 2.62247600e-07  6.10000000e-01  6.07199485e-01 
 2.63347600e-07  6.10000000e-01  6.07224550e-01 
 2.64447600e-07  6.10000000e-01  6.07249305e-01 
 2.65547600e-07  6.10000000e-01  6.07273966e-01 
 2.66647600e-07  6.10000000e-01  6.07298321e-01 
 2.67747600e-07  6.10000000e-01  6.07322586e-01 
 2.68847600e-07  6.10000000e-01  6.07346547e-01 
 2.69947600e-07  6.10000000e-01  6.07370421e-01 
 2.71047600e-07  6.10000000e-01  6.07393996e-01 
 2.72147600e-07  6.10000000e-01  6.07417486e-01 
 2.73247600e-07  6.10000000e-01  6.07440679e-01 
 2.74347600e-07  6.10000000e-01  6.07463791e-01 
 2.75447600e-07  6.10000000e-01  6.07486609e-01 
 2.76547600e-07  6.10000000e-01  6.07509349e-01 
 2.77647600e-07  6.10000000e-01  6.07531799e-01 
 2.78747600e-07  6.10000000e-01  6.07554173e-01 
 2.79847600e-07  6.10000000e-01  6.07576259e-01 
 2.80947600e-07  6.10000000e-01  6.07598273e-01 
 2.82047600e-07  6.10000000e-01  6.07620002e-01 
 2.83147600e-07  6.10000000e-01  6.07641661e-01 
 2.84247600e-07  6.10000000e-01  6.07663038e-01 
 2.85347600e-07  6.10000000e-01  6.07684349e-01 
 2.86447600e-07  6.10000000e-01  6.07705381e-01 
 2.87547600e-07  6.10000000e-01  6.07726348e-01 
 2.88647600e-07  6.10000000e-01  6.07747039e-01 
 2.89747600e-07  6.10000000e-01  6.07767669e-01 
 2.90847600e-07  6.10000000e-01  6.07788025e-01 
 2.91947600e-07  6.10000000e-01  6.07808323e-01 
 2.93047600e-07  6.10000000e-01  6.07828349e-01 
 2.94147600e-07  6.10000000e-01  6.07848320e-01 
 2.95247600e-07  6.10000000e-01  6.07868022e-01 
 2.96347600e-07  6.10000000e-01  6.07887671e-01 
 2.97447600e-07  6.10000000e-01  6.07907055e-01 
 2.98547600e-07  6.10000000e-01  6.07926387e-01 
 2.99647600e-07  6.10000000e-01  6.07945456e-01 
 3.00747600e-07  6.10000000e-01  6.07964477e-01 
 3.01847600e-07  6.10000000e-01  6.07983238e-01 
 3.02947600e-07  6.10000000e-01  6.08001952e-01 
 3.04047600e-07  6.10000000e-01  6.08020409e-01 
 3.05147600e-07  6.10000000e-01  6.08038822e-01 
 3.06247600e-07  6.10000000e-01  6.08056979e-01 
 3.07347600e-07  6.10000000e-01  6.08075095e-01 
 3.08447600e-07  6.10000000e-01  6.08092958e-01 
 3.09547600e-07  6.10000000e-01  6.08110782e-01 
 3.10647600e-07  6.10000000e-01  6.08128356e-01 
 3.11747600e-07  6.10000000e-01  6.08145893e-01 
 3.12847600e-07  6.10000000e-01  6.08163181e-01 
 3.13947600e-07  6.10000000e-01  6.08180436e-01 
 3.15047600e-07  6.10000000e-01  6.08197444e-01 
 3.16147600e-07  6.10000000e-01  6.08214421e-01 
 3.17247600e-07  6.10000000e-01  6.08231153e-01 
 3.18347600e-07  6.10000000e-01  6.08247856e-01 
 3.19447600e-07  6.10000000e-01  6.08264317e-01 
 3.20547600e-07  6.10000000e-01  6.08280750e-01 
 3.21647600e-07  6.10000000e-01  6.08296944e-01 
 3.22747600e-07  6.10000000e-01  6.08313113e-01 
 3.23847600e-07  6.10000000e-01  6.08329044e-01 
 3.24947600e-07  6.10000000e-01  6.08344952e-01 
 3.26047600e-07  6.10000000e-01  6.08360624e-01 
 3.27147600e-07  6.10000000e-01  6.08376276e-01 
 3.28247600e-07  6.10000000e-01  6.08391694e-01 
 3.29347600e-07  6.10000000e-01  6.08407094e-01 
 3.30447600e-07  6.10000000e-01  6.08422262e-01 
 3.31547600e-07  6.10000000e-01  6.08437413e-01 
 3.32647600e-07  6.10000000e-01  6.08452334e-01 
 3.33747600e-07  6.10000000e-01  6.08467241e-01 
 3.34847600e-07  6.10000000e-01  6.08481921e-01 
 3.35947600e-07  6.10000000e-01  6.08496587e-01 
 3.37047600e-07  6.10000000e-01  6.08511028e-01 
 3.38147600e-07  6.10000000e-01  6.08525458e-01 
 3.39247600e-07  6.10000000e-01  6.08539665e-01 
 3.40347600e-07  6.10000000e-01  6.08553862e-01 
 3.41447600e-07  6.10000000e-01  6.08567838e-01 
 3.42547600e-07  6.10000000e-01  6.08581806e-01 
 3.43647600e-07  6.10000000e-01  6.08595555e-01 
 3.44747600e-07  6.10000000e-01  6.08609299e-01 
 3.45847600e-07  6.10000000e-01  6.08622824e-01 
 3.46947600e-07  6.10000000e-01  6.08636346e-01 
 3.48047600e-07  6.10000000e-01  6.08649651e-01 
 3.49147600e-07  6.10000000e-01  6.08662955e-01 
 3.50247600e-07  6.10000000e-01  6.08676044e-01 
 3.51347600e-07  6.10000000e-01  6.08689133e-01 
 3.52447600e-07  6.10000000e-01  6.08702010e-01 
 3.53547600e-07  6.10000000e-01  6.08714888e-01 
 3.54647600e-07  6.10000000e-01  6.08727556e-01 
 3.55747600e-07  6.10000000e-01  6.08740226e-01 
 3.56847600e-07  6.10000000e-01  6.08752688e-01 
 3.57947600e-07  6.10000000e-01  6.08765154e-01 
 3.59047600e-07  6.10000000e-01  6.08777413e-01 
 3.60147600e-07  6.10000000e-01  6.08789678e-01 
 3.61247600e-07  6.10000000e-01  6.08801737e-01 
 3.62347600e-07  6.10000000e-01  6.08813804e-01 
 3.63447600e-07  6.10000000e-01  6.08825668e-01 
 3.64547600e-07  6.10000000e-01  6.08837541e-01 
 3.65647600e-07  6.10000000e-01  6.08849211e-01 
 3.66747600e-07  6.10000000e-01  6.08860892e-01 
 3.67847600e-07  6.10000000e-01  6.08872373e-01 
 3.68947600e-07  6.10000000e-01  6.08883866e-01 
 3.70047600e-07  6.10000000e-01  6.08895160e-01 
 3.71147600e-07  6.10000000e-01  6.08906467e-01 
 3.72247600e-07  6.10000000e-01  6.08917577e-01 
 3.73347600e-07  6.10000000e-01  6.08928703e-01 
 3.74447600e-07  6.10000000e-01  6.08939632e-01 
 3.75547600e-07  6.10000000e-01  6.08950578e-01 
 3.76647600e-07  6.10000000e-01  6.08961329e-01 
 3.77747600e-07  6.10000000e-01  6.08972099e-01 
 3.78847600e-07  6.10000000e-01  6.08982675e-01 
 3.79947600e-07  6.10000000e-01  6.08993271e-01 
 3.81047600e-07  6.10000000e-01  6.09003675e-01 
 3.82147600e-07  6.10000000e-01  6.09014100e-01 
 3.83247600e-07  6.10000000e-01  6.09024335e-01 
 3.84347600e-07  6.10000000e-01  6.09034592e-01 
 3.85447600e-07  6.10000000e-01  6.09044660e-01 
 3.86547600e-07  6.10000000e-01  6.09054752e-01 
 3.87647600e-07  6.10000000e-01  6.09064656e-01 
 3.88747600e-07  6.10000000e-01  6.09074585e-01 
 3.89847600e-07  6.10000000e-01  6.09084328e-01 
 3.90947600e-07  6.10000000e-01  6.09094097e-01 
 3.92047600e-07  6.10000000e-01  6.09103681e-01 
 3.93147600e-07  6.10000000e-01  6.09113292e-01 
 3.94247600e-07  6.10000000e-01  6.09122720e-01 
 3.95347600e-07  6.10000000e-01  6.09132177e-01 
 3.96447600e-07  6.10000000e-01  6.09141451e-01 
 3.97547600e-07  6.10000000e-01  6.09150755e-01 
 3.98647600e-07  6.10000000e-01  6.09159878e-01 
 3.99747600e-07  6.10000000e-01  6.09169032e-01 
 4.00847600e-07  6.10000000e-01  6.09178007e-01 
 4.01947600e-07  6.10000000e-01  6.09187014e-01 
 4.03047600e-07  6.10000000e-01  6.09195842e-01 
 4.04147600e-07  6.10000000e-01  6.09204703e-01 
 4.05247600e-07  6.10000000e-01  6.09213387e-01 
 4.06347600e-07  6.10000000e-01  6.09222106e-01 
 4.07447600e-07  6.10000000e-01  6.09230649e-01 
 4.08547600e-07  6.10000000e-01  6.09239227e-01 
 4.09647600e-07  6.10000000e-01  6.09247630e-01 
 4.10747600e-07  6.10000000e-01  6.09256070e-01 
 4.11847600e-07  6.10000000e-01  6.09264336e-01 
 4.12947600e-07  6.10000000e-01  6.09272640e-01 
 4.14047600e-07  6.10000000e-01  6.09280772e-01 
 4.15147600e-07  6.10000000e-01  6.09288942e-01 
 4.16247600e-07  6.10000000e-01  6.09296941e-01 
 4.17347600e-07  6.10000000e-01  6.09304979e-01 
 4.18447600e-07  6.10000000e-01  6.09312847e-01 
 4.19547600e-07  6.10000000e-01  6.09320757e-01 
 4.20647600e-07  6.10000000e-01  6.09328496e-01 
 4.21747600e-07  6.10000000e-01  6.09336278e-01 
 4.22847600e-07  6.10000000e-01  6.09343891e-01 
 4.23947600e-07  6.10000000e-01  6.09351548e-01 
 4.25047600e-07  6.10000000e-01  6.09359037e-01 
 4.26147600e-07  6.10000000e-01  6.09366570e-01 
 4.27247600e-07  6.10000000e-01  6.09373937e-01 
 4.28347600e-07  6.10000000e-01  6.09381349e-01 
 4.29447600e-07  6.10000000e-01  6.09388595e-01 
 4.30547600e-07  6.10000000e-01  6.09395888e-01 
 4.31647600e-07  6.10000000e-01  6.09403016e-01 
 4.32747600e-07  6.10000000e-01  6.09410191e-01 
 4.33847600e-07  6.10000000e-01  6.09417203e-01 
 4.34947600e-07  6.10000000e-01  6.09424262e-01 
 4.36047600e-07  6.10000000e-01  6.09431160e-01 
 4.37147600e-07  6.10000000e-01  6.09438106e-01 
 4.38247600e-07  6.10000000e-01  6.09444890e-01 
