 v-sweep         ID              Gds            
 5.76000000e-01  2.83992436e-07  4.91041852e-09 
 5.82000000e-01  2.84021729e-07  4.85543697e-09 
 5.88000000e-01  2.84050696e-07  4.80168225e-09 
 5.94000000e-01  2.84079344e-07  4.74911346e-09 
 6.00000000e-01  2.84107680e-07  4.69769152e-09 
 6.06000000e-01  2.84135712e-07  4.64737914e-09 
 6.12000000e-01  2.84163445e-07  4.59814066e-09 
 6.18000000e-01  2.84190885e-07  4.54994196e-09 
 6.24000000e-01  2.84218040e-07  4.50275040e-09 
 6.30000000e-01  2.84244914e-07  4.45653468e-09 
 6.36000000e-01  2.84271514e-07  4.41126483e-09 
 6.42000000e-01  2.84297846e-07  4.36691210e-09 
 6.48000000e-01  2.84323914e-07  4.32344890e-09 
 6.54000000e-01  2.84349723e-07  4.28084876e-09 
 6.60000000e-01  2.84375280e-07  4.23908624e-09 
 6.66000000e-01  2.84400589e-07  4.19813691e-09 
 6.72000000e-01  2.84425655e-07  4.15797729e-09 
 6.78000000e-01  2.84450482e-07  4.11858478e-09 
 6.84000000e-01  2.84475075e-07  4.07993766e-09 
 6.90000000e-01  2.84499438e-07  4.04201501e-09 
 6.96000000e-01  2.84523576e-07  4.00479670e-09 
 7.02000000e-01  2.84547493e-07  3.96826334e-09 
 7.08000000e-01  2.84571192e-07  3.93239623e-09 
 7.14000000e-01  2.84594679e-07  3.89717738e-09 
 7.20000000e-01  2.84617956e-07  3.86258941e-09 
 7.26000000e-01  2.84641027e-07  3.82861557e-09 
 7.32000000e-01  2.84663897e-07  3.79523971e-09 
 7.38000000e-01  2.84686568e-07  3.76244622e-09 
 7.44000000e-01  2.84709044e-07  3.73022005e-09 
 7.50000000e-01  2.84731328e-07  3.69854666e-09 
 7.56000000e-01  2.84753424e-07  3.66741199e-09 
 7.62000000e-01  2.84775335e-07  3.63680247e-09 
 7.68000000e-01  2.84797064e-07  3.60670497e-09 
 7.74000000e-01  2.84818614e-07  3.57710680e-09 
 7.80000000e-01  2.84839987e-07  3.54799570e-09 
 7.86000000e-01  2.84861188e-07  3.51935979e-09 
 7.92000000e-01  2.84882218e-07  3.49118757e-09 
