 v-sweep         ID              Gm             
 5.70000000e-01  2.17894496e-06  1.76425840e-05 
 5.80000000e-01  2.35931364e-06  1.84310866e-05 
 5.90000000e-01  2.54756429e-06  1.92188714e-05 
 6.00000000e-01  2.74368663e-06  2.00053271e-05 
 6.10000000e-01  2.94766453e-06  2.07898921e-05 
 6.20000000e-01  3.15947645e-06  2.15720502e-05 
 6.30000000e-01  3.37909592e-06  2.23513274e-05 
 6.40000000e-01  3.60649194e-06  2.31272889e-05 
 6.50000000e-01  3.84162932e-06  2.38995363e-05 
 6.60000000e-01  4.08062468e-06  2.46677047e-05 
 6.70000000e-01  4.33114611e-06  2.54314607e-05 
 6.80000000e-01  4.58928331e-06  2.61904997e-05 
 6.90000000e-01  4.85498755e-06  2.69445444e-05 
 7.00000000e-01  5.12820749e-06  2.76933424e-05 
 7.10000000e-01  5.40888937e-06  2.84366649e-05 
 7.20000000e-01  5.69697729e-06  2.91743045e-05 
 7.30000000e-01  5.99241335e-06  2.99060743e-05 
 7.40000000e-01  6.29513790e-06  3.06318063e-05 
 7.50000000e-01  6.60508972e-06  3.13513497e-05 
 7.60000000e-01  6.92220615e-06  3.20645702e-05 
 7.70000000e-01  7.24642328e-06  3.27713486e-05 
 7.80000000e-01  7.57767607e-06  3.34715800e-05 
 7.90000000e-01  7.91589852e-06  3.41651725e-05 
 8.00000000e-01  8.26102378e-06  3.48520462e-05 
 8.10000000e-01  8.61298424e-06  3.55321330e-05 
 8.20000000e-01  8.97171168e-06  3.62053749e-05 
 8.30000000e-01  9.33713737e-06  3.68717240e-05 
 8.40000000e-01  9.70919212e-06  3.75311415e-05 
 8.50000000e-01  1.00878064e-05  3.81835969e-05 
 8.60000000e-01  1.04729105e-05  3.88290675e-05 
 8.70000000e-01  1.08644343e-05  3.94675382e-05 
 8.80000000e-01  1.12623079e-05  4.00990002e-05 
 8.90000000e-01  1.16664611e-05  4.07234512e-05 
 9.00000000e-01  1.20768237e-05  4.13408945e-05 
 9.10000000e-01  1.24933257e-05  4.19513390e-05 
 9.20000000e-01  1.29158971e-05  4.25547980e-05 
 9.30000000e-01  1.33444682e-05  4.31512898e-05 
 9.40000000e-01  1.37789693e-05  4.37408366e-05 
 9.50000000e-01  1.42193312e-05  4.43234643e-05 
 9.60000000e-01  1.46654848e-05  4.48992026e-05 
 9.70000000e-01  1.51173612e-05  4.54680840e-05 
 9.80000000e-01  1.55748921e-05  4.60301443e-05 
 9.90000000e-01  1.60380096e-05  4.65854215e-05 
 1.00000000e+00  1.65066458e-05  4.71339563e-05 
 1.01000000e+00  1.69807336e-05  4.76757912e-05 
 1.02000000e+00  1.74602063e-05  4.82109710e-05 
 1.03000000e+00  1.79449974e-05  4.87395420e-05 
 1.04000000e+00  1.84350412e-05  4.92615518e-05 
 1.05000000e+00  1.89302722e-05  4.97770496e-05 
 1.06000000e+00  1.94306256e-05  5.02860856e-05 
 1.07000000e+00  1.99360370e-05  5.07887110e-05 
 1.08000000e+00  2.04464425e-05  5.12849776e-05 
 1.09000000e+00  2.09617789e-05  5.17749381e-05 
 1.10000000e+00  2.14819833e-05  5.22586455e-05 
